"Country","Year","Dentists (per 10 000 population)","Dentists (number)","Dental Assistants and Therapists (number)","Dental Prosthetic Technicians (number)"
"Afghanistan","2016","0.035","120","",""
"Afghanistan","2015","0.036","123","",""
"Afghanistan","2014","0.034","111","",""
"Afghanistan","2008","0.14","382","",""
"Afghanistan","2007","0.117","311","",""
"Afghanistan","2006","0.13","337","",""
"Albania","2006","3.389","1035","",""
"Algeria","2007","3.096","10621","","389"
"Algeria","2005","2.71","9022","",""
"Algeria","2002","2.769","8861","15","677"
"Andorra","2015","8.205","64","",""
"Andorra","2003","6.011","44","",""
"Angola","2004","0.118","222","",""
"Angola","1997","0.001","2","",""
"Antigua and Barbuda","1997","1.673","13","",""
"Argentina","2004","9.19","35592","",""
"Argentina","2001","9.592","35944","",""
"Argentina","1998","7.974","28900","",""
"Argentina","1992","6.507","21900","",""
"Armenia","2014","3.916","1138","",""
"Armenia","2013","4.199","1215","",""
"Armenia","2012","4.476","1290","",""
"Armenia","2011","4.51","1297","",""
"Armenia","2010","4.369","1257","",""
"Australia","2016","5.888","14205","",""
"Australia","2015","5.813","13834","",""
"Australia","2014","5.716","13417","",""
"Australia","2013","5.637","13049","",""
"Australia","2012","5.813","13266","",""
"Australia","2011","5.804","13048","",""
"Australia","2010","5.187","11473","",""
"Australia","2009","6.67","14500","",""
"Australia","2006","14.399","29624","",""
"Australia","2001","4.256","8200","13096",""
"Australia","1996","12.762","23318","",""
"Austria","2017","5.734","5009","",""
"Austria","2016","5.686","4954","",""
"Austria","2015","5.653","4906","",""
"Austria","2014","5.668","4893","",""
"Austria","2013","5.658","4853","",""
"Austria","2012","5.632","4797","",""
"Austria","2011","5.606","4743","",""
"Austria","2010","5.571","4685","",""
"Azerbaijan","2014","2.737","2601","",""
"Azerbaijan","2013","2.613","2452","",""
"Azerbaijan","2012","2.656","2461","",""
"Azerbaijan","2011","2.625","2401","",""
"Azerbaijan","2010","2.731","2467","",""
"Bahamas","2017","2.58","102","",""
"Bahamas","2011","2.291","84","40","6"
"Bahamas","2008","2.266","79","31","5"
"Bahrain","2015","0.977","134","","82"
"Bahrain","2014","0.98","131","","208"
"Bahrain","2013","1.019","134","","196"
"Bahrain","2012","1.069","139","","191"
"Bahrain","2011","0.994","127","","181"
"Bahrain","2010","0.983","122","","172"
"Bahrain","2009","0.996","118","","159"
"Bahrain","2008","1.068","119","","154"
"Bahrain","2006","1.075","103","","150"
"Bahrain","2005","1.102","98","","145"
"Bahrain","2004","2.169","180","96","66"
"Bangladesh","2017","0.495","8155","",""
"Bangladesh","2016","0.43","7015","",""
"Bangladesh","2015","0.404","6520","",""
"Bangladesh","2014","0.399","6360","",""
"Bangladesh","2013","0.383","6034","",""
"Bangladesh","2012","0.309","4815","","2170"
"Bangladesh","2011","0.313","4815","","2170"
"Bangladesh","2010","0.285","4336","","1916"
"Bangladesh","2009","0.255","3841","","1682"
"Bangladesh","2008","0.227","3383","","1436"
"Bangladesh","2007","0.14","2059","","1103"
"Bangladesh","2005","0.163","2344","",""
"Bangladesh","2004","0.138","1948","","589"
"Bangladesh","2002","0.138","1886","",""
"Barbados","2017","3.08","88","",""
"Barbados","2005","3.029","83","11",""
"Barbados","2001","2.216","60","","2"
"Barbados","1995","1.887","50","11",""
"Belarus","2014","5.708","5414","",""
"Belarus","2013","5.482","5196","",""
"Belarus","2012","5.484","5194","",""
"Belarus","2011","5.411","5123","",""
"Belarus","2010","5.37","5087","",""
"Belgium","2016","7.464","8478","",""
"Belgium","2015","7.345","8291","",""
"Belgium","2014","7.227","8108","",""
"Belgium","2013","7.143","7965","",""
"Belgium","2012","7.1","7869","",""
"Belgium","2011","7.062","7777","",""
"Belgium","2010","7.016","7675","",""
"Belgium","2009","7.039","7645","",""
"Belgium","2008","7.196","7757","",""
"Belgium","2007","7.33","7841","",""
"Belgium","2006","7.407","7866","",""
"Belgium","2005","7.33","7731","",""
"Belize","2017","1.548","58","",""
"Belize","2010","0.373","12","",""
"Belize","2009","0.382","12","",""
"Belize","2000","1.294","32","",""
"Benin","2016","0.008","9","",""
"Benin","2008","0.043","37","",""
"Benin","2004","0.014","11","","1"
"Bhutan","2017","0.83","67","","44"
"Bhutan","2007","0.102","7","","58"
"Bhutan","2004","0.156","10","34","14"
"Bolivia (Plurinational State of)","2016","2.23","2428","",""
"Bolivia (Plurinational State of)","2011","1.121","1130","",""
"Bolivia (Plurinational State of)","2010","0.984","976","",""
"Bolivia (Plurinational State of)","2007","0.633","598","",""
"Bolivia (Plurinational State of)","2001","","","742",""
"Bosnia and Herzegovina","2014","2.314","825","",""
"Bosnia and Herzegovina","2013","2.244","809","",""
"Bosnia and Herzegovina","2012","2.398","875","",""
"Bosnia and Herzegovina","2011","2.19","808","",""
"Bosnia and Herzegovina","2010","2.141","797","",""
"Botswana","2016","0.404","91","",""
"Botswana","2012","0.263","55","",""
"Botswana","2011","0.268","55","",""
"Botswana","2010","0.273","55","",""
"Botswana","2009","0.278","55","90",""
"Botswana","2008","0.092","18","80",""
"Botswana","2007","0.167","32","",""
"Botswana","2004","0.208","38","",""
"Brazil","2017","12.368","258842","78892",""
"Brazil","2010","11.333","223021","16152",""
"Brazil","2009","11.873","231399","",""
"Brazil","2008","11.77","227141","",""
"Brazil","2007","11.508","219827","",""
"Brazil","2006","11.492","217217","",""
"Brazil","2005","11.123","207904","",""
"Brazil","2004","9.637","178025","",""
"Brazil","2003","9.368","170953","",""
"Brazil","2002","9.059","163192","",""
"Brazil","2001","8.688","154426","",""
"Brazil","2000","8.752","153412","","37036"
"Brazil","1999","8.419","145441","",""
"Brazil","1998","8.128","138311","",""
"Brazil","1997","6.131","102714","",""
"Brunei Darussalam","2015","2.251","94","89",""
"Brunei Darussalam","2014","","","266",""
"Brunei Darussalam","2012","2.352","94","72","8"
"Brunei Darussalam","2011","2.411","95","",""
"Brunei Darussalam","2010","2.213","86","",""
"Brunei Darussalam","2009","1.876","72","",""
"Brunei Darussalam","2008","2.162","82","",""
"Brunei Darussalam","2007","2.161","81","",""
"Brunei Darussalam","2006","2.025","75","",""
"Brunei Darussalam","2005","1.999","73","",""
"Brunei Darussalam","2004","1.892","68","",""
"Brunei Darussalam","2002","2.018","70","",""
"Brunei Darussalam","2000","1.441","48","",""
"Bulgaria","2014","9.767","7054","",""
"Bulgaria","2013","10.037","7293","",""
"Bulgaria","2012","9.233","6750","",""
"Bulgaria","2011","9.083","6682","",""
"Bulgaria","2010","8.628","6389","",""
"Burkina Faso","2012","0.023","38","",""
"Burkina Faso","2010","0.021","32","",""
"Burkina Faso","2004","0.045","58","",""
"Burundi","2010","0.002","2","",""
"Burundi","2004","0.019","14","",""
"Cabo Verde","2016","0.072","4","",""
"Cabo Verde","2011","0.059","3","",""
"Cabo Verde","2010","0.08","4","",""
"Cabo Verde","2009","0.06","3","",""
"Cabo Verde","2008","0.061","3","",""
"Cabo Verde","2007","0.062","3","",""
"Cabo Verde","2006","0.062","3","",""
"Cambodia","2014","0.165","252","125",""
"Cambodia","2013","0.159","239","58",""
"Cambodia","2012","0.151","223","61",""
"Cambodia","2011","0.201","292","",""
"Cambodia","2010","0.169","242","",""
"Cambodia","2009","0.174","245","",""
"Cambodia","2008","0.186","258","",""
"Cambodia","2000","0.172","209","",""
"Cambodia","1998","0.059","68","143",""
"Cambodia","1996","0.058","64","125",""
"Cameroon","2016","0.038","88","",""
"Cameroon","2011","0.028","58","",""
"Cameroon","2010","0.029","58","",""
"Cameroon","2009","0.016","32","",""
"Cameroon","2007","0.021","39","",""
"Cameroon","2005","0.015","26","",""
"Canada","2016","6.354","23060","",""
"Canada","2015","6.246","22454","",""
"Canada","2014","6.159","21928","",""
"Canada","2013","6.107","21529","",""
"Canada","2012","6.044","21093","",""
"Canada","2008","5.817","19433","22365",""
"Canada","2006","5.797","18925","19385",""
"Canada","2004","5.722","18281","17553",""
"Canada","2002","5.736","17967","16128",""
"Canada","2001","5.683","17631","15553",""
"Canada","1998","5.463","16486","14213",""
"Central African Republic","2009","0.009","4","","8"
"Central African Republic","2008","0.012","5","","8"
"Central African Republic","2004","0.015","6","","7"
"Chad","2004","0.007","7","","8"
"Chile","2016","1.6","2865","",""
"Chile","2009","0.009","15","",""
"Chile","2008","0.008","14","",""
"Chile","2007","0.008","14","",""
"Chile","2006","0.009","14","",""
"Chile","2005","0.007","12","",""
"Chile","2004","0.008","12","",""
"Chile","2003","0.008","13","",""
"Chile","2002","0.006","9","",""
"Chile","1992","","","4390",""
"China","2011","0.865","119000","",""
"China","2005","0.384","51012","",""
"Colombia","2015","9.6","46299","",""
"Colombia","2010","9.769","44858","",""
"Colombia","2009","9.54","43325","",""
"Colombia","2008","9.311","41809","",""
"Colombia","2007","9.084","40311","",""
"Colombia","2006","8.859","38832","",""
"Colombia","2005","8.634","37371","",""
"Colombia","2004","8.409","35928","",""
"Colombia","2003","8.186","34504","",""
"Colombia","2002","8.167","33951","",""
"Colombia","2001","7.737","31712","",""
"Colombia","2000","7.51","30344","",""
"Colombia","1999","7.256","28892","",""
"Colombia","1998","7.015","27523","",""
"Colombia","1997","6.758","26115","",""
"Colombia","1996","6.435","24486","",""
"Colombia","1995","6.14","22991","",""
"Colombia","1994","5.876","21637","",""
"Colombia","1993","5.693","20606","",""
"Colombia","1992","5.482","19492","",""
"Colombia","1991","5.21","18192","",""
"Colombia","1990","4.901","16795","",""
"Colombia","1989","","15655","",""
"Colombia","1988","","14188","",""
"Colombia","1987","","12773","",""
"Colombia","1986","","11628","",""
"Colombia","1985","","10575","",""
"Colombia","1984","","9635","",""
"Colombia","1966","","2300","",""
"Comoros","2012","0.249","18","",""
"Comoros","2009","0.312","21","",""
"Comoros","2005","0.278","17","",""
"Comoros","2004","0.285","17","3","9"
"Congo","2011","0.295","133","",""
"Congo","2004","","","","2"
"Congo","1998","0.328","100","",""
"Cook Islands","2014","12.5","22","",""
"Cook Islands","2009","2.116","4","","15"
"Cook Islands","2004","5.128","10","",""
"Cook Islands","2001","5.464","10","",""
"Costa Rica","2017","0.1","49","",""
"Costa Rica","2013","1.273","599","",""
"Costa Rica","2000","3.737","1467","438",""
"C么te d'Ivoire","2014","0.217","490","120","190"
"C么te d'Ivoire","2008","0.141","274","",""
"C么te d'Ivoire","2005","0.111","204","",""
"C么te d'Ivoire","2004","0.188","339","",""
"Croatia","2015","8.532","3614","",""
"Croatia","2014","7.814","3327","",""
"Croatia","2013","7.539","3225","",""
"Croatia","2012","7.501","3223","",""
"Croatia","2011","7.331","3162","",""
"Croatia","2010","7.296","3158","",""
"Cuba","2017","16.6","19064","",""
"Cuba","2014","14.537","16630","","4402"
"Cuba","2013","13.362","15249","","4459"
"Cuba","2012","12.298","13998","","5216"
"Cuba","2011","11.267","12793","",""
"Cuba","2010","10.716","12144","",""
"Cuba","2009","10.224","11572","",""
"Cuba","2008","9.933","11234","",""
"Cuba","2007","9.631","10887","",""
"Cuba","2006","9.517","10751","",""
"Cuba","2005","9.353","10554","",""
"Cuba","2004","9.277","10452","",""
"Cuba","2003","9.041","10167","",""
"Cuba","2002","8.874","9955","",""
"Cuba","2001","8.829","9877","",""
"Cuba","2000","8.894","9917","",""
"Cuba","1999","8.927","9918","",""
"Cuba","1998","8.923","9873","",""
"Cuba","1997","8.912","9816","",""
"Cuba","1996","8.758","9600","",""
"Cuba","1995","8.388","9148","",""
"Cuba","1994","8.141","8834","",""
"Cuba","1993","7.903","8531","",""
"Cuba","1992","7.506","8057","",""
"Cuba","1991","7.047","7515","",""
"Cuba","1990","6.576","6959","",""
"Cuba","1985","","5335","",""
"Cuba","1980","","3646","",""
"Cuba","1975","","2319","",""
"Cyprus","2014","7.281","839","",""
"Cyprus","2013","7.247","829","",""
"Cyprus","2012","7.189","816","",""
"Cyprus","2011","6.961","783","",""
"Cyprus","2010","6.939","772","",""
"Cyprus","2009","6.894","757","",""
"Cyprus","2008","6.869","743","37","12"
"Cyprus","2007","6.797","723","",""
"Cyprus","1995","6.348","543","",""
"Cyprus","1990","5.583","428","",""
"Cyprus","1985","","301","",""
"Cyprus","1980","","182","",""
"Cyprus","1976","","161","",""
"Cyprus","1970","","176","",""
"Cyprus","1965","","173","",""
"Cyprus","1960","","143","",""
"Czechia","2016","7.497","7955","",""
"Czechia","2015","7.979","8461","",""
"Czechia","2014","7.46","7906","",""
"Czechia","2013","7.009","7426","",""
"Czechia","2012","7.047","7461","",""
"Czechia","2011","7.029","7429","",""
"Czechia","2010","6.893","7263","",""
"Democratic People's Republic of Korea","2017","2.195","5595","",""
"Democratic People's Republic of Korea","2012","1.857","4615","",""
"Democratic People's Republic of Korea","2008","1.773","4314","",""
"Democratic People's Republic of Korea","2003","1.68","3955","","4360"
"Democratic Republic of the Congo","2009","0.007","45","","34"
"Denmark","2015","7.392","4205","",""
"Denmark","2014","7.493","4244","",""
"Denmark","2013","7.618","4295","",""
"Denmark","2012","7.805","4379","",""
"Denmark","2011","7.887","4403","",""
"Denmark","2010","8.074","4485","",""
"Denmark","2009","8.031","4438","",""
"Denmark","2008","8.398","4617","",""
"Denmark","2005","8.547","4634","",""
"Denmark","2004","8.544","4616","",""
"Denmark","2003","8.498","4578","",""
"Denmark","2001","9.022","4834","",""
"Denmark","1997","8.771","4629","",""
"Denmark","1994","8.787","4579","",""
"Djibouti","2014","0.208","19","",""
"Djibouti","2004","0.13","10","",""
"Djibouti","1999","0.086","6","",""
"Dominica","2017","0.677","5","",""
"Dominica","1997","0.565","4","",""
"Dominican Republic","2017","2.1","2261","",""
"Dominican Republic","2011","1.905","1910","",""
"Dominican Republic","2009","1.827","1785","",""
"Dominican Republic","2008","1.25","1205","",""
"Dominican Republic","2000","8.175","7000","",""
"Ecuador","2016","3.2","5243","",""
"Ecuador","2015","5.305","8564","2379",""
"Ecuador","2011","2.756","4183","",""
"Ecuador","2009","2.289","3363","",""
"Ecuador","2003","1.665","2213","",""
"Ecuador","2002","1.706","2230","",""
"Ecuador","2001","1.648","2118","",""
"Ecuador","2000","1.633","2062","",""
"Ecuador","1999","1.611","1997","",""
"Ecuador","1998","1.555","1892","",""
"Ecuador","1997","1.588","1894","",""
"Ecuador","1996","1.553","1815","",""
"Ecuador","1995","1.531","1751","",""
"Ecuador","1994","1.564","1751","",""
"Ecuador","1993","1.408","1542","",""
"Ecuador","1992","1.706","1826","",""
"Ecuador","1991","1.584","1657","",""
"Ecuador","1990","1.485","1517","",""
"Ecuador","1989","","1459","",""
"Ecuador","1988","","1386","",""
"Ecuador","1987","","1269","",""
"Ecuador","1986","","1152","",""
"Ecuador","1985","","1171","",""
"Ecuador","1984","","1152","",""
"Ecuador","1983","","1146","",""
"Ecuador","1982","","1129","",""
"Ecuador","1981","","992","",""
"Egypt","2017","1.959","19111","","2359"
"Egypt","2016","1.834","17552","","2252"
"Egypt","2015","1.8","16880","",""
"Egypt","2014","1.607","14753","",""
"Egypt","2004","1.087","8193","","1724"
"El Salvador","2016","","","1011",""
"El Salvador","2008","7.641","4669","",""
"El Salvador","2005","7.058","4255","",""
"El Salvador","2002","5.833","3465","",""
"El Salvador","1999","5.085","2962","",""
"Equatorial Guinea","2004","0.069","5","7","3"
"Eritrea","2004","0.041","16","",""
"Estonia","2016","9.577","1257","",""
"Estonia","2015","9.42","1239","",""
"Estonia","2014","9.276","1223","",""
"Estonia","2013","9.004","1190","",""
"Estonia","2012","9.027","1196","",""
"Estonia","2011","8.875","1179","",""
"Estonia","2010","8.993","1198","",""
"Estonia","2000","6.497","909","838",""
"Eswatini","2011","0.375","46","",""
"Eswatini","2009","0.11","13","30","16"
"Eswatini","2004","0.155","17","12","3"
"Eswatini","2000","0.028","3","17",""
"Ethiopia","2003","0.008","60","","33"
"Fiji","2015","0.717","64","","177"
"Fiji","2009","2.007","171","",""
"Fiji","2003","0.735","60","",""
"Fiji","1999","0.397","32","",""
"Finland","2014","7.189","3925","",""
"Finland","2013","7.262","3948","",""
"Finland","2012","7.406","4009","",""
"Finland","2011","7.777","4191","",""
"Finland","2010","7.891","4234","",""
"Finland","2009","7.513","4014","",""
"Finland","2002","8.935","4658","1151","865"
"France","2016","6.648","43026","",""
"France","2015","6.609","42602","",""
"France","2014","6.587","42281","",""
"France","2013","6.584","42084","",""
"France","2012","6.559","41740","",""
"France","2011","6.553","41507","",""
"France","2008","6.646","41422","",""
"France","2007","6.689","41444","",""
"France","2003","6.713","40648","",""
"France","2002","6.722","40481","",""
"France","2001","6.748","40426","",""
"France","2000","6.801","40539","",""
"France","1999","6.758","40088","",""
"France","1998","6.684","39457","",""
"France","1997","6.717","39471","",""
"France","1996","6.763","39565","",""
"France","1995","6.819","39714","",""
"France","1994","6.774","39284","",""
"France","1993","6.731","38868","",""
"France","1992","6.687","38451","",""
"France","1991","6.664","38146","",""
"Gabon","2016","0.045","9","","33"
"Gabon","2004","0.103","14","","52"
"Gambia","2015","0.086","17","","3"
"Gambia","2008","0.076","12","24","11"
"Gambia","2007","0.071","11","24","11"
"Gambia","2006","0.067","10","",""
"Gambia","2005","0.069","10","",""
"Gambia","2003","0.052","7","","36"
"Georgia","2015","6.248","2469","",""
"Georgia","2014","5.39","2152","",""
"Georgia","2013","4.983","2016","",""
"Georgia","2012","4.891","2009","",""
"Georgia","2011","4.179","1743","",""
"Georgia","2010","2.97","1257","",""
"Germany","2016","8.583","70305","",""
"Germany","2015","8.55","69863","",""
"Germany","2014","8.478","69089","",""
"Germany","2013","8.409","68336","",""
"Germany","2012","8.346","67654","",""
"Germany","2011","8.275","66974","",""
"Germany","2010","8.212","66427","",""
"Ghana","2008","0.019","45","88","15"
"Ghana","2007","0.014","31","","13"
"Ghana","2004","0.05","104","154","135"
"Greece","2014","12.203","13746","",""
"Greece","2013","12.287","13911","",""
"Greece","2012","12.487","14208","",""
"Greece","2011","12.71","14518","1210",""
"Greece","2010","12.809","14661","",""
"Grenada","2017","1.577","17","",""
"Grenada","2006","1.839","19","",""
"Grenada","2003","0.879","9","","4"
"Grenada","2002","0.881","9","","4"
"Grenada","2001","0.884","9","","4"
"Grenada","2000","0.886","9","","5"
"Grenada","1999","0.888","9","","5"
"Grenada","1997","0.692","7","",""
"Guatemala","2018","0.104","180","",""
"Guatemala","2007","1.734","2376","",""
"Guatemala","1999","1.797","2046","",""
"Guinea","2005","0.018","17","","16"
"Guinea","2004","0.023","22","","38"
"Guinea","2000","0.02","18","","20"
"Guinea-Bissau","2009","0.046","7","","6"
"Guinea-Bissau","2008","0.014","2","1","3"
"Guinea-Bissau","2004","0.022","3","13","6"
"Guyana","2018","0.358","28","55",""
"Guyana","2009","0.389","29","6","29"
"Guyana","2000","0.398","30","",""
"Haiti","2018","0.213","237","16","2"
"Haiti","2011","0.049","50","",""
"Haiti","1998","0.114","94","",""
"Honduras","2017","0.332","308","",""
"Honduras","2016","2.673","2436","",""
"Honduras","2008","0.3","236","",""
"Honduras","2000","1.749","1141","","230"
"Hungary","2016","6.237","6083","",""
"Hungary","2015","6.067","5936","",""
"Hungary","2014","6.321","6203","",""
